Name,Info,Icon,Lat,Lng
Silverdale Waterfront Park,Access to the southern terminus of the Clear Creek Trail can be found at the Silverdale Waterfront Park. Park along Washington Ave NW.,Trailhead,47.64408708,-122.6952508
Old Mill Park,Old Mill Park is located on Bucklin Hill Road between Silverdale Way and Tracyton Boulevard. Parking is available near the restroom.,Trailhead,47.65019562,-122.6887169
Clear Creek Sa'qad Interpretive Center,Located in the red barn at Creekside Office Park. Access via Bucklin Hill Road to Levin Road. Weekend parking available in office lot; weekdays use Old Mill Park. ,Trailhead,47.65109096,-122.6847769
Ridgetop Pavillion,The Ridgetop Pavillion is located adjacent to 9228 Ridgetop Blvd. This lot is only open on weekends.,Trailhead,47.65832717,-122.6837432
All Star Lanes Trailhead," Trailhead is located at the northeast corner of the bowling alley parking lot. Access multiple trail loops leading to Silverdale Way, Myhre Road, and Hospital Hill.  ",Trailhead,47.66104342,-122.6832401
Silverdale Rotary Gateway Park,"Also known as the Silverdale Rotary Gateway Park, this public parking area is for the dog park, skateboard park, and north wetlands trails. Expect overflow parking on Silverdale Way during peak times. ",Trailhead,47.66785189,-122.6816423
Schold Road Trailhead, Access via Silverdale Way to Schold Place then left onto a quiet neighborhood Schold Road. Park on gravel shoulders. Turnaround available at dead end. ,Trailhead,47.67133259,-122.68222
Trigger Ave,Access to the northern terminus of the Clear Creek Trail can be found near Petersen Farm. Park on the road right-of-way.,Trailhead,47.67865006,-122.6899183
Restroom,,Restroom,47.64388315,-122.6948087
Restroom,,Restroom,47.65000918,-122.6889214
Restroom,,Restroom,47.66769459,-122.6820354
Red Barn Kiosk,,Kiosk,47.651119,-122.685028
Bucklin Hill Kiosk,,Kiosk,47.650697,-122.686961
South Ridgetop Kiosk,,Kiosk,47.654173,-122.685742
Bowling Alley Kiosk,,Kiosk,47.661222,-122.682689
Marsh Kiosk,,Kiosk,47.662134,-122.682139
Schold Road Kiosk,,Kiosk,47.671348,-122.682267
Wetlands Kiosk,,Kiosk,47.671502,-122.685675
Boardwalk Kiosk,,Kiosk,47.673829,-122.685235
Highway Kiosk,,Kiosk,47.678472,-122.689379
Hospital Kiosk,,Kiosk,47.655727,-122.672171
